price,city,district,type,listing_type
4400, Bratislava-Staré Mesto,Bratislava,"Kancelárie, administratívne priestory",rent
209900,Nitra,Nitra,Rodinný dom,sale
264900,Nitra,Nitra,Rodinný dom,sale
128900,Levice,Levice,3 izbový byt,sale
335000,Žilina,Žilina,Rodinný dom,sale
94990,Nitra,Nitra,"Chalupa, rekreačný domček",sale
750000,Levice,Levice,Rodinný dom,sale
189800,Nitra,Nitra,3 izbový byt,sale
259990, Dunajská Streda,Dunajská,Rodinný dom,sale
189990,Nitra,Nitra,Rodinný dom,sale
55000,Bytča,Bytča,Pozemok pre rodinné domy,sale
264990,Ilava,Ilava,Rodinný dom,sale
169900,Horná Mariková,Považská,Rodinný dom,sale
159000,Vrútky,Martin,3 izbový byt,sale
114990,Trenčín,Trenčín,2 izbový byt,sale
184990,Dunajská Streda,Dunajská,3 izbový byt,sale
214900,Martin,Martin,4 izbový byt,sale
1,Martin,Martin,3 izbový byt,sale
149900,Nové Sady,Nitra,Rodinný dom,sale
167990,Žilina,Žilina,2 izbový byt,sale
149900,Terchová,Žilina,Pozemok pre rodinné domy,sale
251125,Senec,Senec,Rodinný dom,sale
244975, Nová Dedinka,Senec,Rodinný dom,sale
515000, Bratislava-Nové Mesto,Bratislava,4 izbový byt,sale
599900, Bratislava-Petržalka,Bratislava,Rodinný dom,sale
329000, Bratislava-Ružinov,Bratislava,4 izbový byt,sale
216000, Bratislava-Karlova Ves,Bratislava,2 izbový byt,sale
389990, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
750000,Marianka,Malacky,Rodinný dom,sale
169000,Šamorín,Dunajská,Rodinný dom,sale
115000, Bratislava-Ružinov,Bratislava,Záhradná chatka,sale
125000, Bratislava-Petržalka,Bratislava,Garsónka,sale
289900, Bratislava-Nové Mesto,Bratislava,3 izbový byt,sale
549990,Malinovo,Senec,Rodinný dom,sale
320000, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
210000, Malinovo,Senec,3 izbový byt,sale
275000, Bratislava-Dúbravka,Bratislava,4 izbový byt,sale
299900,Slovenský Grob,Pezinok,Rodinný dom,sale
299900,Slovenský Grob,Pezinok,4 izbový byt,sale
222000, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
274000, Bratislava-Ružinov,Bratislava,3 izbový byt,sale
160000,Miloslavov,Senec,1 izbový byt,sale
265000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
230000,Bratislava-Devínska Nová Ves,Bratislava,2 izbový byt,sale
690, Bratislava-Rača,Bratislava,2 izbový byt,rent
384000,Hviezdoslavov,Dunajská,Rodinný dom,sale
900000, Bratislava-Ružinov,Bratislava,Administratívny objekt,sale
185500, Bratislava-Podunajské Biskupice,Bratislava,4 izbový byt,sale
177000,Trnava,Trnava,3 izbový byt,sale
274900, Bratislava-Ružinov,Bratislava,3 izbový byt,sale
45000,Šišov,Bánovce,Orná pôda,sale
90000,Mikušovce,Ilava,Pozemok pre rodinné domy,sale
500,Bratislava-Jarovce,Bratislava,1 izbový byt,rent
169000,,,Rodinný dom,sale
79000,,,Rodinný dom,sale
185000, Bratislava-Ružinov,Bratislava,1 izbový byt,sale
226900, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
720, Bratislava-Staré Mesto,Bratislava,Garsónka,rent
349990, Košice-Lorinčík,Košice,4 izbový byt,sale
309990, Bratislava-Nové Mesto,Bratislava,4 izbový byt,sale
389990, Bratislava-Vrakuňa,Bratislava,Rodinný dom,sale
227990, Bratislava-Petržalka,Bratislava,3 izbový byt,sale
280000, Košice-Lorinčík,Košice,4 izbový byt,sale
900, Bratislava-Staré Mesto,Bratislava,3 izbový byt,rent
123000, Šaľa,Šaľa,3 izbový byt,sale
107000, Nové Zámky,Nové,Rodinný dom,sale
360000,Trebatice,Piešťany,Rodinný dom,sale
155000,Piešťany,Piešťany,4 izbový byt,sale
129000, Šúrovce,Trnava,Rodinný dom,sale
179900, Sereď,Galanta,Rodinný dom,sale
141900, Sereď,Galanta,3 izbový byt,sale
249000, Smolenice,Trnava,Rodinný dom,sale
197600,Veľké Kostoľany,Piešťany,Rodinný dom,sale
79900,Stupava,Malacky,"Chalupa, rekreačný domček",sale
74900, Malé Leváre,Malacky,Pozemok pre rodinné domy,sale
135000, Pata,Galanta,Rodinný dom,sale
285000, Kráľová nad Váhom,Šaľa,Rodinný dom,sale
97000, Sereď,Galanta,Pozemok pre rodinné domy,sale
273000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
289000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
129900, Mostová,Galanta,3 izbový byt,sale
248000, Horné Saliby,Galanta,Rodinný dom,sale
39900, Šaľa,Šaľa,Záhradná chatka,sale
499000, Chorvátsky Grob,Senec,Rodinný dom,sale
209900, Bratislava-Petržalka,Bratislava,2 izbový byt,sale
264900, Bratislava-Petržalka,Bratislava,3 izbový byt,sale
759900, Bratislava-Ružinov,Bratislava,4 izbový byt,sale
340000, Hviezdoslavov,Dunajská,Rodinný dom,sale
890, Bratislava-Ružinov,Bratislava,2 izbový byt,rent
375500,Dvory nad Žitavou,Nové,Rodinný dom,sale
890, Bratislava-Petržalka,Bratislava,Iný priestor,rent
275000, Piešťany,Piešťany,Rodinný dom,sale
230000, Čaňa,Košice,Rodinný dom,sale
65000, Nižná Hutka,Košice,"Chalupa, rekreačný domček",sale
129000, Geča,Košice,"Chalupa, rekreačný domček",sale
115000, Rozhanovce,Košice,Pozemok pre bytovú výstavbu,sale
160000, Bratislava-Petržalka,Bratislava,Dvojgarsónka,sale
369000,Senec,Senec,Rodinný dom,sale
149900,,,Rodinný dom,sale
185000, Galanta,Galanta,3 izbový byt,sale
232000, Senec,Senec,4 izbový byt,sale
125000, Spišská Nová Ves,Spišská,3 izbový byt,sale
690000, Limbach,Pezinok,Rodinný dom,sale
